Rank,Player,Team,Pos,Passing_Yds
1,Tom Brady,Tampa Bay Buccaneers,QB,5493
2,Josh Allen,Buffalo Bills,QB,5361
3,Patrick Mahomes,Kansas City Chiefs,QB,5320
4,Aaron Rodgers,Green Bay Packers,QB,4941
5,Deshaun Watson,Houston Texans,QB,4823
6,Matt Ryan,Atlanta Falcons,QB,4581
7,Philip Rivers,Indianapolis Colts,QB,4478
8,Russell Wilson,Seattle Seahawks,QB,4386
9,Justin Herbert,Los Angeles Chargers,QB,4336
10,Ben Roethlisberger,Pittsburgh Steelers,QB,4304
11,Jared Goff,Los Angeles Rams,QB,4281
12,Kirk Cousins,Minnesota Vikings,QB,4265
13,Derek Carr,Las Vegas Raiders,QB,4103
14,Matthew Stafford,Detroit Lions,QB,4084
15,Baker Mayfield,Cleveland Browns,QB,4030
16,Ryan Tannehill,Tennessee Titans,QB,3984
17,Kyler Murray,Arizona Cardinals,QB,3971
18,Teddy Bridgewater,Carolina Panthers,QB,3733
19,Drew Brees,New Orleans Saints,QB,3341
20,Lamar Jackson,Baltimore Ravens,QB,3098
21,Daniel Jones,New York Giants,QB,2943
22,Drew Lock,Denver Broncos,QB,2933
23,Joe Burrow,Cincinnati Bengals,QB,2688
24,Cam Newton,New England Patriots,QB,2657
25,Carson Wentz,Philadelphia Eagles,QB,2620
26,Nick Mullens,San Francisco 49ers,QB,2437
27,Gardner Minshew II,Jacksonville Jaguars,QB,2259
28,Mitchell Trubisky,Chicago Bears,QB,2254
29,Sam Darnold,New York Jets,QB,2208
30,Andy Dalton,Dallas Cowboys,QB,2170
31,Ryan Fitzpatrick,Miami Dolphins,QB,2091
32,Dak Prescott,Dallas Cowboys,QB,1856
33,Nick Foles,Chicago Bears,QB,1852
34,Tua Tagovailoa,Miami Dolphins,QB,1814
35,Alex Smith,Washington Football Team,QB,1582
36,Dwayne Haskins,Washington Football Team,QB,1439
37,Jimmy Garoppolo,San Francisco 49ers,QB,1096
38,Mike Glennon,Jacksonville Jaguars,QB,1072
39,Jalen Hurts,Philadelphia Eagles,QB,1061
40,Taysom Hill,New Orleans Saints,QB,928
41,Brandon Allen,Cincinnati Bengals,QB,925
42,Joe Flacco,New York Jets,QB,864
43,C.J. Beathard,San Francisco 49ers,QB,787
44,Jake Luton,Jacksonville Jaguars,QB,624
45,Kyle Allen,Washington Football Team,QB,610
46,Taylor Heinicke,Washington Football Team,QB,443
47,Jeff Driskel,Denver Broncos,QB,432
48,Colt McCoy,New York Giants,QB,375
49,P.J. Walker,Carolina Panthers,QB,368
50,Mason Rudolph,Pittsburgh Steelers,QB,324
